customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,acquisition_channel,signup_source,onboarding_completed,first_30d_watch_hours,sessions_first_30d,profiles_created,downloads_used,kids_profile_created,recommendation_click_rate,geography,primary_device,plan_tier,user_segment,referral_source,referral_sent,referred_signup_count,is_active_as_of_2025_03_01
NFX000001,2024-10-16,,6.99,monthly,1,Organic Search,Android App,1,14.1,7,2,0,0,0.39,US,iPhone,Mobile,Value Seeker,None,0,0,1
NFX000002,2025-02-16,,22.99,monthly,1,Partner Bundle,Android App,1,19.3,10,3,0,0,0.27,US,iPhone,Premium,Family,None,0,0,1
NFX000003,2024-09-25,2025-01-08,15.49,monthly,1,Email Re-engagement,Web,1,0,1,3,0,0,0.37,US,iPhone,Standard,Casual Viewer,Friend Invite,0,0,0
NFX000004,2023-09-08,2025-01-07,15.49,monthly,1,Organic Search,Web,1,18.6,15,2,1,0,0.49,Mexico,Smart TV,Standard,Binge Watcher,None,0,0,0
NFX000005,2024-02-10,2025-01-07,15.49,monthly,1,Email Re-engagement,Android App,1,16.6,12,5,0,0,0.46,US,iPhone,Standard,Binge Watcher,None,0,0,0
NFX000006,2024-01-30,2024-09-21,22.99,monthly,1,Paid Search,Partner Landing Page,1,31.2,20,2,0,0,0.38,UK,Web Browser,Premium,Binge Watcher,None,0,0,0
NFX000007,2024-05-27,2024-12-13,22.99,monthly,1,Referral,iOS App,1,38.3,16,2,0,0,0.49,US,Smart TV,Premium,Family,Friend Invite,0,0,0
NFX000008,2023-09-04,2023-12-15,6.99,monthly,1,Email Re-engagement,Partner Landing Page,1,26.2,14,1,0,0,0.62,US,Android Tablet,Mobile,Binge Watcher,None,0,0,0
NFX000009,2023-11-16,2024-07-10,15.49,monthly,1,Paid Search,Android App,1,20.3,10,2,1,1,0.51,Canada,Web Browser,Standard,Family,None,0,0,0
NFX000010,2024-07-06,,15.49,monthly,1,Organic Search,Smart TV,1,20.4,12,1,0,0,0.45,India,iPad,Standard,Family,None,1,0,1
NFX000011,2023-09-12,,15.49,monthly,1,Organic Search,iOS App,0,29.1,15,3,1,1,0.31,US,Android Phone,Standard,Family,None,0,0,1
NFX000012,2023-03-02,2023-05-15,15.49,monthly,1,Organic Search,Web,0,8.9,4,2,1,1,0.32,Canada,Web Browser,Standard,Value Seeker,None,0,0,0
NFX000013,2023-02-21,,22.99,monthly,1,App Store,iOS App,1,23.8,10,3,1,0,0.34,Germany,iPhone,Premium,Family,None,0,0,1
NFX000014,2023-07-29,2023-09-15,15.49,monthly,1,TV Ad,Web,1,4.7,2,3,0,0,0.49,US,iPhone,Standard,Casual Viewer,None,0,0,0
NFX000015,2023-10-19,2024-01-22,22.99,monthly,1,Organic Search,Android App,1,14.9,11,1,1,1,0.34,India,Smart TV,Premium,Family,None,0,0,0
NFX000016,2024-10-11,,6.99,monthly,1,Partner Bundle,iOS App,1,20.9,15,2,0,0,0.41,US,Web Browser,Mobile,Binge Watcher,None,0,0,1
NFX000017,2024-12-08,,9.99,monthly,1,Email Re-engagement,iOS App,0,17.5,11,1,1,0,0.39,Germany,Smart TV,Basic,Young Adult,Friend Invite,0,0,1
NFX000018,2023-06-16,2023-11-25,15.49,monthly,1,Direct,Android App,0,4.3,2,2,1,0,0.48,Germany,iPhone,Standard,Casual Viewer,None,0,0,0
NFX000019,2024-04-16,,15.49,monthly,1,Paid Search,Android App,1,12.5,6,3,0,0,0.62,Germany,Android Phone,Standard,Young Adult,None,0,0,1
NFX000020,2023-02-09,2023-07-20,15.49,monthly,1,Organic Search,iOS App,1,18.0,8,4,0,0,0.42,India,Android Phone,Standard,Young Adult,None,0,0,0
NFX000021,2023-03-13,2024-09-20,6.99,monthly,1,Direct,Smart TV,1,9.4,6,1,0,0,0.42,India,Smart TV,Mobile,Young Adult,None,0,0,0
NFX000022,2023-11-08,2024-08-09,15.49,monthly,1,Paid Social,iOS App,0,15.7,7,3,0,0,0.35,India,Smart TV,Standard,Family,None,0,0,0
NFX000023,2024-11-19,,22.99,monthly,1,Paid Social,Android App,0,26.0,15,2,0,0,0.23,US,iPhone,Premium,Binge Watcher,None,0,0,1
NFX000024,2023-08-13,2024-08-19,9.99,monthly,1,Organic Search,Partner Landing Page,1,3.3,1,1,0,0,0.28,UK,iPhone,Basic,Young Adult,None,0,0,0
NFX000025,2024-07-15,2024-09-12,15.49,monthly,1,Paid Search,Web,1,17.2,8,3,1,0,0.45,Germany,iPad,Standard,Young Adult,None,0,0,0
NFX000026,2023-08-08,2025-01-17,9.99,monthly,1,Organic Search,Web,1,6.0,3,2,1,0,0.32,UK,Android Phone,Basic,Casual Viewer,None,0,0,0
NFX000027,2024-03-05,2024-04-05,15.49,monthly,1,App Store,Android App,1,19.1,8,1,0,0,0.21,Brazil,Web Browser,Standard,Young Adult,None,0,0,0
NFX000028,2024-03-14,,9.99,monthly,1,Organic Search,iOS App,1,22.7,10,2,1,0,0.46,US,Android Phone,Basic,Binge Watcher,None,0,0,1
NFX000029,2024-10-29,,15.49,monthly,1,Organic Search,Web,0,13.5,8,3,0,0,0.28,US,Apple TV,Standard,Young Adult,None,0,0,1
NFX000030,2023-11-16,2023-12-18,9.99,monthly,1,App Store,Smart TV,1,14.0,9,1,0,0,0.25,Canada,Web Browser,Basic,Binge Watcher,None,1,1,0
NFX000031,2024-10-25,,22.99,monthly,1,Paid Search,Smart TV,1,29.5,19,1,0,0,0.31,Brazil,iPhone,Premium,Binge Watcher,None,0,0,1
NFX000032,2023-03-30,2023-06-13,15.49,monthly,1,Paid Social,iOS App,1,16.9,10,2,0,0,0.5,Brazil,Smart TV,Standard,Young Adult,None,0,0,0
NFX000033,2023-09-05,2024-05-14,15.49,monthly,1,Referral,iOS App,1,25.2,13,2,0,0,0.27,Brazil,Smart TV,Standard,Binge Watcher,Friend Invite,0,0,0
NFX000034,2023-09-15,2024-04-18,22.99,monthly,1,Paid Social,Android App,1,29.8,15,3,0,0,0.29,US,Roku,Premium,Family,None,0,0,0
NFX000035,2024-12-26,2025-01-14,15.49,monthly,1,App Store,Web,0,21.3,12,2,1,1,0.42,Mexico,Smart TV,Standard,Binge Watcher,None,0,0,0
NFX000036,2024-10-06,,6.99,monthly,1,Referral,Web,1,7.0,3,2,0,0,0.32,Brazil,Web Browser,Mobile,Value Seeker,Friend Invite,0,0,1
NFX000037,2023-03-03,,9.99,monthly,1,TV Ad,Android App,1,23.6,12,2,0,1,0.38,Mexico,Android Phone,Basic,Family,None,0,0,1
NFX000038,2024-10-02,2025-01-18,9.99,monthly,1,App Store,Android App,1,6.3,3,1,0,0,0.32,US,iPhone,Basic,Young Adult,None,0,0,0
NFX000039,2023-10-06,2024-05-02,15.49,monthly,1,App Store,iOS App,0,22.0,9,2,0,0,0.31,US,iPhone,Standard,Young Adult,None,0,0,0
NFX000040,2023-10-12,2023-12-16,6.99,monthly,1,Organic Search,iOS App,0,13.6,8,1,0,0,0.23,India,Android Tablet,Mobile,Young Adult,None,0,0,0
NFX000041,2023-11-28,2023-12-03,6.99,monthly,1,Organic Search,Android App,1,7.5,4,1,1,0,0.48,Germany,Apple TV,Mobile,Young Adult,None,0,0,0
NFX000042,2024-10-07,2024-11-11,15.49,monthly,0,TV Ad,Web,1,12.6,6,1,0,0,0.42,US,Smart TV,Standard,Casual Viewer,None,0,0,0
NFX000043,2024-07-18,2024-10-15,6.99,monthly,1,Organic Search,Web,0,19.8,9,2,0,0,0.2,India,Roku,Mobile,Binge Watcher,None,0,0,0
NFX000044,2025-02-20,,15.49,monthly,0,App Store,iOS App,1,11.9,5,2,0,0,0.24,US,Android Phone,Standard,Family,None,0,0,1
NFX000045,2023-02-07,2023-10-27,22.99,monthly,1,Organic Search,Partner Landing Page,1,21.3,16,1,0,0,0.35,US,iPhone,Premium,Casual Viewer,None,1,0,0
NFX000046,2023-11-21,2023-12-01,15.49,monthly,1,TV Ad,Smart TV,1,9.5,7,4,0,0,0.4,UK,Smart TV,Standard,Value Seeker,None,0,0,0
NFX000047,2023-11-29,,15.49,monthly,1,Partner Bundle,Web,1,34.2,23,2,0,0,0.35,Canada,iPhone,Standard,Binge Watcher,None,0,0,1
NFX000048,2023-10-22,2023-11-27,15.49,monthly,0,Referral,Web,0,18.8,13,2,1,0,0.39,UK,Android Phone,Standard,Young Adult,Friend Invite,0,0,0
NFX000049,2024-11-05,2025-01-22,22.99,monthly,1,Paid Search,Web,1,33.4,22,4,1,0,0.43,Germany,Roku,Premium,Binge Watcher,Friend Invite,0,0,0
NFX000050,2024-10-04,,15.49,monthly,1,TV Ad,Web,1,7.4,5,1,0,0,0.35,UK,Smart TV,Standard,Young Adult,None,0,0,1
